Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids
April 2017 First Open Bidding Exercise,12/4/2017,2017,Cat A (Cars up to 1600cc and 97kW),2068,52000,2486,2061
April 2017 First Open Bidding Exercise,12/4/2017,2017,Cat B (Cars above 1600cc or 97kW),1360,54405,1970,1360
April 2017 First Open Bidding Exercise,12/4/2017,2017,Cat D (Motorcycles),355,7589,482,354
April 2017 First Open Bidding Exercise,12/4/2017,2017,Cat C (Goods vehicles and buses),162,45906,351,162
April 2017 First Open Bidding Exercise,12/4/2017,2017,Cat E (Open),486,54556,748,485
March 2017 Second Open Bidding Exercise,29/03/2017,2017,Cat A (Cars up to 1600cc and 97kW),2096,51765,2961,2096
March 2017 Second Open Bidding Exercise,29/03/2017,2017,Cat B (Cars above 1600cc or 97kW),1357,54000,2081,1345
March 2017 Second Open Bidding Exercise,29/03/2017,2017,Cat D (Motorcycles),355,8081,453,354
March 2017 Second Open Bidding Exercise,29/03/2017,2017,Cat C (Goods vehicles and buses),164,47036,251,163
March 2017 Second Open Bidding Exercise,29/03/2017,2017,Cat E (Open),499,54501,783,499
March 2017 First Open Bidding Exercise,15/03/2017,2017,Cat A (Cars up to 1600cc and 97kW),2061,50789,3190,2045
March 2017 First Open Bidding Exercise,15/03/2017,2017,Cat B (Cars above 1600cc or 97kW),1371,53300,2298,1368
March 2017 First Open Bidding Exercise,15/03/2017,2017,Cat D (Motorcycles),368,7483,546,359
March 2017 First Open Bidding Exercise,15/03/2017,2017,Cat C (Goods vehicles and buses),170,49002,216,170
March 2017 First Open Bidding Exercise,15/03/2017,2017,Cat E (Open),482,53001,763,478
February 2017 Second Open Bidding Exercise,24/02/2017,2017,Cat A (Cars up to 1600cc and 97kW),2133,49430,2926,2089
February 2017 Second Open Bidding Exercise,24/02/2017,2017,Cat B (Cars above 1600cc or 97kW),1377,50621,2126,1377
February 2017 Second Open Bidding Exercise,24/02/2017,2017,Cat D (Motorcycles),392,6801,753,384
February 2017 Second Open Bidding Exercise,24/02/2017,2017,Cat C (Goods vehicles and buses),174,49810,249,171
February 2017 Second Open Bidding Exercise,24/02/2017,2017,Cat E (Open),500,51000,800,483
February 2017 First Open Bidding Exercise,8/2/2017,2017,Cat A (Cars up to 1600cc and 97kW),2060,48401,2691,2051
February 2017 First Open Bidding Exercise,8/2/2017,2017,Cat B (Cars above 1600cc or 97kW),1366,48209,1783,1352
February 2017 First Open Bidding Exercise,8/2/2017,2017,Cat D (Motorcycles),348,6412,534,326
February 2017 First Open Bidding Exercise,8/2/2017,2017,Cat C (Goods vehicles and buses),164,48901,268,155
February 2017 First Open Bidding Exercise,8/2/2017,2017,Cat E (Open),488,48556,805,488
January 2017 Second Open Bidding Exercise,18/01/2017,2017,Cat A (Cars up to 1600cc and 97kW),1846,50889,2437,1766
January 2017 Second Open Bidding Exercise,18/01/2017,2017,Cat B (Cars above 1600cc or 97kW),1246,52807,1967,1226
January 2017 Second Open Bidding Exercise,18/01/2017,2017,Cat D (Motorcycles),377,6052,412,331
January 2017 Second Open Bidding Exercise,18/01/2017,2017,Cat C (Goods vehicles and buses),186,47001,254,173
January 2017 Second Open Bidding Exercise,18/01/2017,2017,Cat E (Open),400,52600,662,381
January 2017 First Open Bidding Exercise,5/1/2017,2017,Cat A (Cars up to 1600cc and 97kW),1877,50101,2260,1870
January 2017 First Open Bidding Exercise,5/1/2017,2017,Cat B (Cars above 1600cc or 97kW),1252,53106,1835,1243
January 2017 First Open Bidding Exercise,5/1/2017,2017,Cat D (Motorcycles),376,6053,438,374
January 2017 First Open Bidding Exercise,5/1/2017,2017,Cat C (Goods vehicles and buses),183,46302,271,180
January 2017 First Open Bidding Exercise,5/1/2017,2017,Cat E (Open),401,53001,648,394
December 2016 Second Open Bidding Exercise,21/12/2016,2016,Cat A (Cars up to 1600cc and 97kW),1844,49751,2554,1843
December 2016 Second Open Bidding Exercise,21/12/2016,2016,Cat B (Cars above 1600cc or 97kW),1244,51109,2052,1242
December 2016 Second Open Bidding Exercise,21/12/2016,2016,Cat D (Motorcycles),415,6101,484,408
December 2016 Second Open Bidding Exercise,21/12/2016,2016,Cat C (Goods vehicles and buses),182,49500,274,176
December 2016 Second Open Bidding Exercise,21/12/2016,2016,Cat E (Open),404,50389,668,404
December 2016 First Open Bidding Exercise,7/12/2016,2016,Cat A (Cars up to 1600cc and 97kW),1844,48000,2335,1812
December 2016 First Open Bidding Exercise,7/12/2016,2016,Cat B (Cars above 1600cc or 97kW),1245,46229,1494,1237
December 2016 First Open Bidding Exercise,7/12/2016,2016,Cat D (Motorcycles),374,6113,436,368
December 2016 First Open Bidding Exercise,7/12/2016,2016,Cat C (Goods vehicles and buses),185,51209,262,183
December 2016 First Open Bidding Exercise,7/12/2016,2016,Cat E (Open),413,50010,643,411
November 2016 Second Open Bidding Exercise,23/11/2016,2016,Cat A (Cars up to 1600cc and 97kW),1846,50951,2536,1846
November 2016 Second Open Bidding Exercise,23/11/2016,2016,Cat B (Cars above 1600cc or 97kW),1254,53001,1708,1253
November 2016 Second Open Bidding Exercise,23/11/2016,2016,Cat D (Motorcycles),375,6212,520,331
November 2016 Second Open Bidding Exercise,23/11/2016,2016,Cat C (Goods vehicles and buses),182,49002,286,181
November 2016 Second Open Bidding Exercise,23/11/2016,2016,Cat E (Open),401,54901,531,397
November 2016 First Open Bidding Exercise,9/11/2016,2016,Cat A (Cars up to 1600cc and 97kW),1929,52668,2800,1929
November 2016 First Open Bidding Exercise,9/11/2016,2016,Cat B (Cars above 1600cc or 97kW),1347,56206,2012,1345
November 2016 First Open Bidding Exercise,9/11/2016,2016,Cat D (Motorcycles),399,6311,457,396
November 2016 First Open Bidding Exercise,9/11/2016,2016,Cat C (Goods vehicles and buses),185,48001,283,181
November 2016 First Open Bidding Exercise,9/11/2016,2016,Cat E (Open),401,56000,641,388
October 2016 Second Open Bidding Exercise,19/10/2016,2016,Cat A (Cars up to 1600cc and 97kW),2023,50991,2584,2021
October 2016 Second Open Bidding Exercise,19/10/2016,2016,Cat B (Cars above 1600cc or 97kW),1340,56410,1768,1329
October 2016 Second Open Bidding Exercise,19/10/2016,2016,Cat D (Motorcycles),360,6354,430,356
October 2016 Second Open Bidding Exercise,19/10/2016,2016,Cat C (Goods vehicles and buses),188,45589,252,187
October 2016 Second Open Bidding Exercise,19/10/2016,2016,Cat E (Open),429,56340,678,428
October 2016 First Open Bidding Exercise,5/10/2016,2016,Cat A (Cars up to 1600cc and 97kW),2064,51507,2938,1979
October 2016 First Open Bidding Exercise,5/10/2016,2016,Cat B (Cars above 1600cc or 97kW),1350,53001,1785,1246
October 2016 First Open Bidding Exercise,5/10/2016,2016,Cat D (Motorcycles),387,6353,498,359
October 2016 First Open Bidding Exercise,5/10/2016,2016,Cat C (Goods vehicles and buses),176,48702,232,172
October 2016 First Open Bidding Exercise,5/10/2016,2016,Cat E (Open),436,54200,642,435
September 2016 Second Open Bidding Exercise,21/09/2016,2016,Cat A (Cars up to 1600cc and 97kW),2008,50000,2610,1993
September 2016 Second Open Bidding Exercise,21/09/2016,2016,Cat B (Cars above 1600cc or 97kW),1338,55501,2017,1334
September 2016 Second Open Bidding Exercise,21/09/2016,2016,Cat D (Motorcycles),403,6501,478,402
September 2016 Second Open Bidding Exercise,21/09/2016,2016,Cat C (Goods vehicles and buses),177,49890,237,165
September 2016 Second Open Bidding Exercise,21/09/2016,2016,Cat E (Open),429,55201,592,429
September 2016 First Open Bidding Exercise,7/9/2016,2016,Cat A (Cars up to 1600cc and 97kW),2067,51506,2739,2011
September 2016 First Open Bidding Exercise,7/9/2016,2016,Cat B (Cars above 1600cc or 97kW),1372,57002,2183,1358
September 2016 First Open Bidding Exercise,7/9/2016,2016,Cat D (Motorcycles),362,6452,521,334
September 2016 First Open Bidding Exercise,7/9/2016,2016,Cat C (Goods vehicles and buses),175,49801,260,175
September 2016 First Open Bidding Exercise,7/9/2016,2016,Cat E (Open),458,56889,723,450
August 2016 Second Open Bidding Exercise,17/08/2016,2016,Cat A (Cars up to 1600cc and 97kW),2034,53334,2803,2034
August 2016 Second Open Bidding Exercise,17/08/2016,2016,Cat B (Cars above 1600cc or 97kW),1336,56500,2088,1334
August 2016 Second Open Bidding Exercise,17/08/2016,2016,Cat D (Motorcycles),365,6352,541,321
August 2016 Second Open Bidding Exercise,17/08/2016,2016,Cat C (Goods vehicles and buses),180,48001,236,178
August 2016 Second Open Bidding Exercise,17/08/2016,2016,Cat E (Open),450,56956,618,450
August 2016 First Open Bidding Exercise,3/8/2016,2016,Cat A (Cars up to 1600cc and 97kW),2018,52503,2712,1959
August 2016 First Open Bidding Exercise,3/8/2016,2016,Cat B (Cars above 1600cc or 97kW),1336,57903,2156,1300
August 2016 First Open Bidding Exercise,3/8/2016,2016,Cat D (Motorcycles),403,6206,558,400
August 2016 First Open Bidding Exercise,3/8/2016,2016,Cat C (Goods vehicles and buses),177,48302,245,177
August 2016 First Open Bidding Exercise,3/8/2016,2016,Cat E (Open),429,58201,610,400
July 2016 Second Open Bidding Exercise,20/07/2016,2016,Cat A (Cars up to 1600cc and 97kW),2272,53000,3195,2246
July 2016 Second Open Bidding Exercise,20/07/2016,2016,Cat B (Cars above 1600cc or 97kW),1463,57508,2439,1463
July 2016 Second Open Bidding Exercise,20/07/2016,2016,Cat D (Motorcycles),430,6302,586,424
July 2016 Second Open Bidding Exercise,20/07/2016,2016,Cat C (Goods vehicles and buses),230,49890,344,225
July 2016 Second Open Bidding Exercise,20/07/2016,2016,Cat E (Open),521,57501,821,500
July 2016 First Open Bidding Exercise,7/7/2016,2016,Cat A (Cars up to 1600cc and 97kW),2222,52301,3194,2212
July 2016 First Open Bidding Exercise,7/7/2016,2016,Cat B (Cars above 1600cc or 97kW),1469,56089,2547,1469
July 2016 First Open Bidding Exercise,7/7/2016,2016,Cat D (Motorcycles),409,6012,525,365
July 2016 First Open Bidding Exercise,7/7/2016,2016,Cat C (Goods vehicles and buses),237,47889,310,235
July 2016 First Open Bidding Exercise,7/7/2016,2016,Cat E (Open),517,56002,750,517
June 2016 Second Open Bidding Exercise,22/06/2016,2016,Cat A (Cars up to 1600cc and 97kW),2252,55200,3957,2197
June 2016 Second Open Bidding Exercise,22/06/2016,2016,Cat B (Cars above 1600cc or 97kW),1463,57010,2914,1462
June 2016 Second Open Bidding Exercise,22/06/2016,2016,Cat D (Motorcycles),422,6303,495,389
June 2016 Second Open Bidding Exercise,22/06/2016,2016,Cat C (Goods vehicles and buses),228,48002,342,226
June 2016 Second Open Bidding Exercise,22/06/2016,2016,Cat E (Open),538,57390,1009,531
June 2016 First Open Bidding Exercise,8/6/2016,2016,Cat A (Cars up to 1600cc and 97kW),2218,53694,4545,2213
June 2016 First Open Bidding Exercise,8/6/2016,2016,Cat B (Cars above 1600cc or 97kW),1470,56000,3436,1463
June 2016 First Open Bidding Exercise,8/6/2016,2016,Cat D (Motorcycles),407,6302,529,395
June 2016 First Open Bidding Exercise,8/6/2016,2016,Cat C (Goods vehicles and buses),228,46434,347,219
June 2016 First Open Bidding Exercise,8/6/2016,2016,Cat E (Open),536,55100,860,533
May 2016 Second Open Bidding Exercise,18/05/2016,2016,Cat A (Cars up to 1600cc and 97kW),2217,47020,3227,2182
May 2016 Second Open Bidding Exercise,18/05/2016,2016,Cat B (Cars above 1600cc or 97kW),1537,49156,2322,1536
May 2016 Second Open Bidding Exercise,18/05/2016,2016,Cat D (Motorcycles),414,6303,500,389
May 2016 Second Open Bidding Exercise,18/05/2016,2016,Cat C (Goods vehicles and buses),229,43002,355,229
May 2016 Second Open Bidding Exercise,18/05/2016,2016,Cat E (Open),534,49700,815,510
May 2016 First Open Bidding Exercise,5/5/2016,2016,Cat A (Cars up to 1600cc and 97kW),2218,47889,3446,2217
May 2016 First Open Bidding Exercise,5/5/2016,2016,Cat B (Cars above 1600cc or 97kW),1462,51010,2435,1454
May 2016 First Open Bidding Exercise,5/5/2016,2016,Cat D (Motorcycles),399,6302,519,389
May 2016 First Open Bidding Exercise,5/5/2016,2016,Cat C (Goods vehicles and buses),232,42302,324,232
May 2016 First Open Bidding Exercise,5/5/2016,2016,Cat E (Open),750,49000,1380,728
April 2016 Second Open Bidding Exercise,20/04/2016,2016,Cat A (Cars up to 1600cc and 97kW),2062,47300,3327,2061
April 2016 Second Open Bidding Exercise,20/04/2016,2016,Cat B (Cars above 1600cc or 97kW),1211,49602,2364,1136
April 2016 Second Open Bidding Exercise,20/04/2016,2016,Cat D (Motorcycles),357,6501,437,341
April 2016 Second Open Bidding Exercise,20/04/2016,2016,Cat C (Goods vehicles and buses),163,43002,241,162
April 2016 Second Open Bidding Exercise,20/04/2016,2016,Cat E (Open),453,49501,834,433
April 2016 First Open Bidding Exercise,6/4/2016,2016,Cat A (Cars up to 1600cc and 97kW),2105,46009,3719,2103
April 2016 First Open Bidding Exercise,6/4/2016,2016,Cat B (Cars above 1600cc or 97kW),1218,47000,2247,1218
April 2016 First Open Bidding Exercise,6/4/2016,2016,Cat D (Motorcycles),357,6503,455,356
April 2016 First Open Bidding Exercise,6/4/2016,2016,Cat C (Goods vehicles and buses),164,44213,235,161
April 2016 First Open Bidding Exercise,6/4/2016,2016,Cat E (Open),583,47510,1397,346
March 2016 Second Open Bidding Exercise,23/03/2016,2016,Cat A (Cars up to 1600cc and 97kW),2053,45504,3836,2020
March 2016 Second Open Bidding Exercise,23/03/2016,2016,Cat B (Cars above 1600cc or 97kW),1220,46502,2491,1218
March 2016 Second Open Bidding Exercise,23/03/2016,2016,Cat D (Motorcycles),357,6589,429,356
March 2016 Second Open Bidding Exercise,23/03/2016,2016,Cat C (Goods vehicles and buses),167,46502,226,166
March 2016 Second Open Bidding Exercise,23/03/2016,2016,Cat E (Open),452,46667,912,445
March 2016 First Open Bidding Exercise,9/3/2016,2016,Cat A (Cars up to 1600cc and 97kW),2033,45000,3518,1957
March 2016 First Open Bidding Exercise,9/3/2016,2016,Cat B (Cars above 1600cc or 97kW),1209,47604,2706,1200
March 2016 First Open Bidding Exercise,9/3/2016,2016,Cat D (Motorcycles),357,6503,430,356
March 2016 First Open Bidding Exercise,9/3/2016,2016,Cat C (Goods vehicles and buses),162,48890,259,160
March 2016 First Open Bidding Exercise,9/3/2016,2016,Cat E (Open),449,48002,951,312
February 2016 Second Open Bidding Exercise,17/02/2016,2016,Cat A (Cars up to 1600cc and 97kW),2049,43000,2965,2025
February 2016 Second Open Bidding Exercise,17/02/2016,2016,Cat B (Cars above 1600cc or 97kW),1208,46970,2898,1197
February 2016 Second Open Bidding Exercise,17/02/2016,2016,Cat D (Motorcycles),362,6353,454,361
February 2016 Second Open Bidding Exercise,17/02/2016,2016,Cat C (Goods vehicles and buses),165,45001,239,160
February 2016 Second Open Bidding Exercise,17/02/2016,2016,Cat E (Open),456,45009,873,450
February 2016 First Open Bidding Exercise,3/2/2016,2016,Cat A (Cars up to 1600cc and 97kW),2038,46651,2972,2033
February 2016 First Open Bidding Exercise,3/2/2016,2016,Cat B (Cars above 1600cc or 97kW),1216,38610,1624,1216
February 2016 First Open Bidding Exercise,3/2/2016,2016,Cat D (Motorcycles),368,6503,495,368
February 2016 First Open Bidding Exercise,3/2/2016,2016,Cat C (Goods vehicles and buses),164,45036,229,164
February 2016 First Open Bidding Exercise,3/2/2016,2016,Cat E (Open),446,44001,824,443
January 2016 Second Open Bidding Exercise,20/01/2016,2016,Cat A (Cars up to 1600cc and 97kW),1659,51301,3437,1638
January 2016 Second Open Bidding Exercise,20/01/2016,2016,Cat B (Cars above 1600cc or 97kW),1026,50089,1334,1026
January 2016 Second Open Bidding Exercise,20/01/2016,2016,Cat D (Motorcycles),327,6512,415,322
January 2016 Second Open Bidding Exercise,20/01/2016,2016,Cat C (Goods vehicles and buses),242,46502,387,239
January 2016 Second Open Bidding Exercise,20/01/2016,2016,Cat E (Open),360,51000,713,350
January 2016 First Open Bidding Exercise,6/1/2016,2016,Cat A (Cars up to 1600cc and 97kW),1659,45002,2013,1649
January 2016 First Open Bidding Exercise,6/1/2016,2016,Cat B (Cars above 1600cc or 97kW),1027,54920,1262,1019
January 2016 First Open Bidding Exercise,6/1/2016,2016,Cat D (Motorcycles),328,6889,409,317
January 2016 First Open Bidding Exercise,6/1/2016,2016,Cat C (Goods vehicles and buses),246,42036,353,245
January 2016 First Open Bidding Exercise,6/1/2016,2016,Cat E (Open),362,55089,498,361
December 2015 Second Open Bidding Exercise,23/12/2015,2015,Cat A (Cars up to 1600cc and 97kW),1669,54301,1978,1667
December 2015 Second Open Bidding Exercise,23/12/2015,2015,Cat B (Cars above 1600cc or 97kW),1027,55001,1200,1025
December 2015 Second Open Bidding Exercise,23/12/2015,2015,Cat D (Motorcycles),332,6600,394,332
December 2015 Second Open Bidding Exercise,23/12/2015,2015,Cat C (Goods vehicles and buses),244,46001,311,243
December 2015 Second Open Bidding Exercise,23/12/2015,2015,Cat E (Open),360,57501,512,360
December 2015 First Open Bidding Exercise,9/12/2015,2015,Cat A (Cars up to 1600cc and 97kW),1698,56989,2132,1696
December 2015 First Open Bidding Exercise,9/12/2015,2015,Cat B (Cars above 1600cc or 97kW),1031,60001,1324,1028
December 2015 First Open Bidding Exercise,9/12/2015,2015,Cat D (Motorcycles),355,6501,414,354
December 2015 First Open Bidding Exercise,9/12/2015,2015,Cat C (Goods vehicles and buses),241,48101,345,236
December 2015 First Open Bidding Exercise,9/12/2015,2015,Cat E (Open),364,60003,495,362
November 2015 Second Open Bidding Exercise,18/11/2015,2015,Cat A (Cars up to 1600cc and 97kW),1662,59200,2140,1650
November 2015 Second Open Bidding Exercise,18/11/2015,2015,Cat B (Cars above 1600cc or 97kW),1029,61103,1388,1026
November 2015 Second Open Bidding Exercise,18/11/2015,2015,Cat D (Motorcycles),329,6502,436,324
November 2015 Second Open Bidding Exercise,18/11/2015,2015,Cat C (Goods vehicles and buses),247,45890,389,244
November 2015 Second Open Bidding Exercise,18/11/2015,2015,Cat E (Open),365,62019,519,365
November 2015 First Open Bidding Exercise,4/11/2015,2015,Cat A (Cars up to 1600cc and 97kW),1664,56001,2009,1623
November 2015 First Open Bidding Exercise,4/11/2015,2015,Cat B (Cars above 1600cc or 97kW),1037,57501,1267,1031
November 2015 First Open Bidding Exercise,4/11/2015,2015,Cat D (Motorcycles),329,5912,402,301
November 2015 First Open Bidding Exercise,4/11/2015,2015,Cat C (Goods vehicles and buses),241,43809,372,240
November 2015 First Open Bidding Exercise,4/11/2015,2015,Cat E (Open),367,60689,505,363
October 2015 Second Open Bidding Exercise,21/10/2015,2015,Cat A (Cars up to 1600cc and 97kW),1690,57301,2229,1684
